trade_id,date,instrument,side,quantity,trade_price
T00188,2025-03-04,EURUSD,SELL,75000,1.0541
T00189,2025-03-04,EURUSD,SELL,50000,1.05291
T00190,2025-03-04,GBPUSD,BUY,100000,1.27036
T00191,2025-03-04,GBPUSD,SELL,100000,1.27146
T00192,2025-03-04,AUDUSD,BUY,50000,0.66841
T00193,2025-03-04,AUDUSD,BUY,75000,0.66943
T00194,2025-03-05,EURUSD,SELL,25000,1.04833
T00195,2025-03-05,EURUSD,SELL,150000,1.04907
T00196,2025-03-05,GBPUSD,SELL,100000,1.27392
T00197,2025-03-05,GBPUSD,SELL,150000,1.27498
T00198,2025-03-05,GBPUSD,BUY,25000,1.27305
T00199,2025-03-05,AUDUSD,SELL,25000,0.66631
T00200,2025-03-05,AUDUSD,BUY,100000,0.6664
